trajectory,step,time_fs,active_root
TRAJ_00001,0,0.0,S2
TRAJ_00001,15,7.5,S1
TRAJ_00001,60,30.0,S0
TRAJ_00001,84,42.0,S1
TRAJ_00001,86,43.0,S0
TRAJ_00001,115,57.5,S1
TRAJ_00001,192,96.0,S0
TRAJ_00001,193,96.5,S1
TRAJ_00002,0,0.0,S2
TRAJ_00002,8,4.0,S1
TRAJ_00002,33,16.5,S0
TRAJ_00003,0,0.0,S2
TRAJ_00003,25,12.5,S1
TRAJ_00003,60,30.0,S0
TRAJ_00004,0,0.0,S2
TRAJ_00004,3,1.5,S1
TRAJ_00004,42,21.0,S0
TRAJ_00006,0,0.0,S2
TRAJ_00006,6,3.0,S1
TRAJ_00006,56,28.0,S0
TRAJ_00006,191,95.5,S1
TRAJ_00007,0,0.0,S2
TRAJ_00007,35,17.5,S1
TRAJ_00007,77,38.5,S0
TRAJ_00007,121,60.5,S1
TRAJ_00007,127,63.5,S0
TRAJ_00007,191,95.5,S1
TRAJ_00007,196,98.0,S0
TRAJ_00007,199,99.5,S1
TRAJ_00008,0,0.0,S2
TRAJ_00008,7,3.5,S1
TRAJ_00008,23,11.5,S0
TRAJ_00008,151,75.5,S1
TRAJ_00009,0,0.0,S2
TRAJ_00009,6,3.0,S1
TRAJ_00009,54,27.0,S0
TRAJ_00010,0,0.0,S2
TRAJ_00010,16,8.0,S1
TRAJ_00010,29,14.5,S0
