time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
0.0,1.2428691278304908e-39,1.568422898319353e-34,1.0,5.672519032387573e-32,2.746013947298906e-32,1.5703299076148954e-32,7.142049750312008e-32,3.078337642851171e-32,2.198854794958255e-32,2.837547235933804e-33,1.7522866610897118e-32,6.953138381821332e-33,3.48624852940359e-32
0.5,8.333743504858035e-08,2.8946316067685713e-05,0.9999233926267461,4.717667185734182e-05,1.0272256557442923e-09,4.938934272941598e-09,1.494680566426532e-07,1.080858319856937e-09,6.42250535411901e-08,2.1284868144753705e-08,9.67178464835648e-10,4.538609666515135e-09,1.535169826758485e-07
1.0,7.589595232635424e-08,1.708842355275953e-05,0.9998980544326947,8.347854178355461e-05,7.129029879855954e-10,9.157581351167658e-09,4.894248298373394e-07,6.157078155918117e-10,1.3308926508045473e-07,1.6114808596883258e-07,7.621213161945815e-10,1.2952948232298907e-08,4.948426041870752e-07
1.5,6.518838982766511e-08,0.0002746167079453771,0.9996660199810018,5.708890830527397e-05,6.284348113187318e-10,3.993466711799963e-09,8.522678569774017e-07,3.4421181249160557e-10,1.1256565971308108e-07,3.964107100452853e-07,6.429972076615724e-10,2.0326761828396966e-08,8.220342002416227e-07
2.0,8.711581132394804e-08,0.0025822817256576595,0.9974024479339143,1.2410310528014159e-05,1.1869974100591694e-09,2.4180315928856506e-10,1.0993273477475678e-06,3.569122971758858e-10,6.57409007179168e-08,5.735658232696511e-07,1.2596803770427598e-09,2.49976149987641e-08,1.0062369576189042e-06
2.5,6.792590740935197e-08,0.0163343761223905,0.983621692522108,4.1035738396398756e-05,1.1230565380901512e-09,1.2176272721707185e-09,1.1566091540743157e-06,2.0054087381220882e-11,3.6152724068463e-08,5.995697557047395e-07,1.2870153535518097e-09,3.453205341496201e-08,9.971798443081827e-07
3.0,1.4927894425530532e-08,0.20369042390186393,0.7961836259496028,0.00012366455139808038,9.758882897695171e-10,4.1101146883632515e-09,1.0247580341461203e-06,9.609171713410982e-12,2.5600564722185226e-08,4.6200237228626067e-07,1.2926811239146576e-09,5.2063094560589484e-08,6.998570287815434e-07
3.5,1.9816455269759044e-09,0.7138108005494451,0.28588991283542636,0.00029763319271601676,9.154944589860975e-10,7.740819629778444e-09,8.258219657195056e-07,3.762357104169993e-11,2.168387358919368e-08,3.021571109689937e-07,1.3561542864556853e-09,8.067831014309302e-08,4.110495133127463e-07
4.0,2.949518438268818e-10,0.9043584381445824,0.09515403310276012,0.00048637888070645626,1.3436671288182846e-09,1.5383382981749298e-08,6.301592292677924e-07,1.1140845234117958e-10,1.985851237637275e-08,1.721264470756103e-07,1.8780525295607663e-09,1.2527497976158598e-07,1.8344115326572825e-07
4.5,4.679455558929436e-09,0.9376437962496632,0.061318949127488205,0.0010363096647319622,2.792469617550804e-09,4.3821518765055675e-08,5.257064523322009e-07,2.4044386721123576e-10,2.4218246584107814e-08,9.075995567539688e-08,3.3441713586572442e-09,1.9232745591001163e-07,5.706780992774643e-08
5.0,4.2288568020128034e-08,0.9505994433282081,0.04543438008099886,0.003965045595348176,5.75122742404738e-09,2.0213372566330066e-07,4.37674881395023e-07,4.937577902266161e-10,1.9008739676471258e-08,5.7588446345684875e-08,5.9943232300840165e-09,2.926116547805323e-07,6.745004970808221e-08
5.5,2.2674066403680652e-07,0.9642512389950582,0.022029082910600458,0.01371789450122406,1.0150198730060642e-08,4.967597324446817e-07,2.839443668031298e-07,8.557650467652922e-10,2.0891737545816128e-08,5.056832740977807e-08,9.704798023373626e-09,4.905453699117349e-07,1.9343208107958786e-07
6.0,7.282156396360428e-07,0.9810128533249756,0.005942393410575517,0.013041777325583074,1.450791437126578e-08,6.858275409378089e-07,1.7988122408286903e-07,1.1227790303589688e-09,7.571779979579835e-08,3.236858692897892e-08,1.3451770545697219e-08,1.0136248013432707e-06,2.312207006586783e-07
