time_fs,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13
0.0,7.541560249448088e-16,7.048907588772483e-11,2.1274967855810057e-12,2.1780687259992843e-10,7.573134846844334e-09,2.055597749950859e-09,1.1304286073611562e-08,1.0102710389062249e-17,0.9999974954019684,2.6976195434065643e-09,3.393634308468364e-09,2.477283431385491e-06,8.346602867081168e-16
0.5,1.490523030124159e-07,1.4436295285681849e-11,1.2517109025545894e-12,1.1925665131001956e-10,8.758752410780076e-09,2.528245306227114e-09,1.1205284420944542e-08,7.810152927398541e-05,0.999180216250075,4.176597655421021e-09,3.0843230854341114e-09,2.477147162071375e-06,0.0007390261330903357
1.0,1.1194365521491172e-07,1.1139431938942968e-11,1.4072838996990636e-12,3.421065221471462e-11,8.811065539527452e-09,1.9140249872243397e-09,6.7151459372278535e-09,0.00024569394892913,0.9973240124779763,4.637625253244403e-09,2.8736647681993677e-09,2.3328500586064604e-06,0.002427823781109369
1.5,3.1852863352578596e-08,1.6846257610414482e-11,1.9927163610204872e-12,3.61402268889418e-11,4.249158772948374e-09,3.4585003889711887e-10,1.2775300065928289e-09,0.0004189727951622498,0.9960500794390054,2.0270580886962167e-09,4.050050929795773e-09,2.076633133437394e-06,0.0035288272753169515
2.0,1.3207593509079604e-08,5.222567604591219e-13,1.7973009141356733e-12,1.129793950006865e-11,1.2155646926497372e-08,7.75863207303442e-09,1.4457315763933527e-09,0.0006211174198555697,0.9962211287281036,2.4724537360258424e-09,2.3881638848201544e-08,1.7817100028768291e-06,0.003155911206645012
2.5,1.6440650554165948e-08,7.486221294004191e-13,6.285963973793608e-12,2.7909279034619878e-11,1.5608252715593346e-07,5.4424524496482095e-08,1.9095822735739085e-08,0.0012444740909170905,0.9968358132894558,1.0061449747198313e-08,1.546902057636877e-06,5.087525419177262e-08,0.001917858702329164
3.0,1.614560215064809e-07,8.100509772060317e-12,1.9500898437543748e-13,2.8194464168629644e-11,2.0037825090827794e-06,3.4495328545478e-08,1.5967668894275803e-07,0.9976580707364386,0.0008373231570794307,7.811762636308436e-09,1.481158469442472e-06,3.74224923994814e-08,0.0015007202667848604
3.5,8.022815678879655e-08,2.2092684536020242e-11,5.043898874453238e-13,1.843405076339908e-11,1.85401140895682e-05,4.4543625478954785e-07,4.844914801902939e-07,0.993716249313882,0.004204307074601661,5.199570006213273e-07,1.298418882629161e-06,8.19375052115254e-06,0.0020498811741012056
4.0,2.043284110664173e-08,1.2831586090956291e-11,2.8654324708369786e-12,1.6556098119358775e-11,0.0006718787796306955,1.244894003260915e-06,3.0308543226644734e-07,0.9888453020756458,4.43794155202796e-05,1.9101856538608877e-06,6.102529335018979e-07,0.008918006934090094,0.0015163439120407275
4.5,1.3605575715705432e-08,9.833760868279567e-12,9.618791427802982e-12,4.9408147323047824e-12,0.9871139939854409,1.6754003257127565e-06,1.4148858117453923e-07,0.00018098578566115597,0.012403336030644436,2.760527969996587e-06,1.030368721920381e-07,6.378325170300162e-05,0.0002332068629232458
5.0,9.49006784738378e-08,9.273188271680818e-12,1.9053858047671956e-11,3.004004075692863e-12,0.9869276099304649,1.5563377068626938e-06,7.332079414447564e-07,4.9171735457000484e-05,0.012881751238759462,2.5310645633851875e-06,3.2787359315646047e-08,3.4561052217921457e-07,0.0001361731551598961
5.5,4.787068450446844e-08,2.310999224131722e-11,3.102468880787104e-11,2.9867972038067344e-11,0.990551522986812,7.767070547439094e-07,3.619307260947631e-06,1.9454452791600543e-05,0.008909983749633296,1.6651212781367518e-06,2.7890340042245354e-07,7.825621087808643e-07,0.0005118682550407618
6.0,4.6547149646347245e-09,2.9892978284510187e-12,4.9487796606332775e-11,4.228435566293237e-11,0.9959509706016758,6.910847714353013e-07,3.0234906976246368e-06,1.136037204730614e-05,0.003973958981913962,7.439185674097394e-07,4.310671948449109e-07,3.372223298344931e-07,5.847851126778556e-05
6.5,2.0079326643691444e-06,2.2999533186054682e-11,4.7477943792065466e-11,5.157906941406324e-11,0.999514949625865,4.50120131418553e-07,3.308583859355623e-06,7.258668332090546e-06,0.0004560788170429467,2.625113850753735e-07,3.25924888814319e-07,1.520065232268998e-08,1.5342493124949457e-05
7.0,4.552218485148586e-06,3.3713043242293084e-11,1.189068431269601e-11,3.916184504252177e-11,0.998971057516334,4.79493716216706e-07,3.2700901677657147e-06,5.454104163135143e-06,0.0010099612282188372,8.81892704850125e-08,9.181265552635627e-08,1.7864257587729344e-08,5.027398027676807e-06
7.5,8.35402064532976e-06,4.1987883592368646e-11,2.481362914995902e-11,4.7272857151840824e-11,0.9976876142781969,6.254698576907947e-07,3.0768787131372053e-06,4.697151243102072e-06,0.002292306897110241,2.167406879025252e-08,3.008384574546553e-08,5.232727392647594e-09,3.268199427802612e-06
8.0,1.7442385706068972e-05,4.8176952688606024e-11,2.3972618327894244e-11,6.25546160165315e-11,0.9980118347622351,8.062090253787936e-07,2.762720774216581e-06,4.368186523146829e-06,0.0019623097386810722,7.212394214179362e-09,1.3157977564105141e-08,3.142374002370546e-09,4.5234966455850636e-07
8.5,3.402665911590555e-05,5.043290180033262e-11,2.4108614441888377e-11,2.1169788591522496e-10,0.999202892842226,9.560047911710722e-07,2.372929700180188e-06,4.2485738975556375e-06,0.0007546177623452558,4.006631768218586e-09,2.4202963884341833e-09,9.749934812664451e-10,8.775397136399721e-07
9.0,6.350693748996993e-05,5.2564392195152004e-11,2.2654647120736528e-11,4.422939152621528e-09,0.9995855544460411,9.604147551568148e-07,2.001210128483138e-06,4.19524150196341e-06,0.0003436283766129586,2.605585887828649e-10,4.135943521935037e-10,4.856860747591285e-11,1.4815251870447216e-07
9.5,4.9497392238408094e-09,5.1146470991085815e-11,1.8279972417273312e-11,0.00010141133110889159,0.9994292630165184,8.009602225148332e-07,1.7110704545449088e-06,4.105756108834412e-06,0.0004626750018656593,4.087756728118872e-10,1.4868675710099016e-10,9.94613380991963e-11,2.7187717328521385e-08
10.0,8.329380820288206e-10,4.879320992262472e-11,1.4687270338331053e-11,0.0001417138539401596,0.9995867510668153,5.781261083170296e-07,1.4858302072026194e-06,3.938911880806617e-06,0.0002654964526559664,1.743580407048096e-11,7.175003259221914e-12,2.7436427539869574e-12,3.483456090212546e-08
10.5,3.0057689667153306e-10,4.588845989775015e-11,1.1674799667073481e-11,0.0001972221328715757,0.9996941538679764,3.7188213658354835e-07,1.3116531348969557e-06,3.6874938310572607e-06,0.00010317317201082997,1.2871302574080905e-11,1.2142565573227567e-12,7.82158887200023e-12,7.94180077675326e-08
