#                    1                    2                    3                    4                    5                    6                    7                    8                    9                   10                   11                   12                   13                   14                   15                   16                   17                   18                   19                   20                   21                   22                   23                   24                   25                   26                   27                   28                   29                   30                   31                   32                   33                   34                   35                   36                   37                   38                   39                   40                   41                   42                   43
#               Time |               Ekin |               Epot |               Etot |  Energy          1 |  Energy          2 |  Energy          3 |  Energy          4 |  Energy          5 |  Energy          6 |  Energy          7 |  Energy          8 |  Energy          9 |  Energy         10 |  Energy         11 |  Energy         12 |  Energy         13 | Spin             1 | Spin             2 | Spin             3 | Spin             4 | Spin             5 | Spin             6 | Spin             7 | Spin             8 | Spin             9 | Spin            10 | Spin            11 | Spin            12 | Spin            13 | f_osc            1 | f_osc            2 | f_osc            3 | f_osc            4 | f_osc            5 | f_osc            6 | f_osc            7 | f_osc            8 | f_osc            9 | f_osc           10 | f_osc           11 | f_osc           12 | f_osc           13 |
#               [fs] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |
   0.000000000000E+000  3.740189772038E-001  1.078495463727E+001  1.115897361447E+001  5.262170732288E-001  5.600206763076E+000  5.600206887857E+000  5.600206942979E+000  8.439971510204E+000  8.439971644152E+000  8.439972062767E+000  8.857605214310E+000  1.078495463727E+001  1.102913091481E+001  1.102913101762E+001  1.102913382651E+001  1.206092257024E+001  3.668735562911E-007  1.999999829672E+000  1.999999995471E+000  1.999999951947E+000  1.999999977505E+000  1.999999749820E+000  1.999999706315E+000  8.258551737420E-007  2.002842729012E-005  1.999999873980E+000  1.999999287498E+000  1.999979961695E+000  4.449399094696E-007  0.000000000000E+000  8.697081058255E-010  3.146371903826E-011  1.225020335137E-009  5.051271045616E-009  4.660090353009E-009  2.135251585283E-009  2.809978732578E-002  4.442111995681E-001  2.574596750287E-008  1.608557853158E-009  4.807059728049E-006  1.824641152312E-002
   5.000000000000E-001  4.423896076486E-001  1.071611896545E+001  1.115850857309E+001  5.739882899728E-001  5.544499132393E+000  5.544499271834E+000  5.544499337975E+000  8.495131946400E+000  8.495132098979E+000  8.495132511636E+000  8.915136969962E+000  1.071611896545E+001  1.099925764432E+001  1.099925774080E+001  1.099926017147E+001  1.200589927975E+001  3.735267493852E-007  1.999999822570E+000  1.999999996376E+000  1.999999942398E+000  1.999999960682E+000  1.999999716760E+000  1.999999674402E+000  9.516563995295E-007  1.493272665911E-005  1.999999837694E+000  1.999999184996E+000  1.999985126499E+000  4.797138343124E-007  0.000000000000E+000  7.991968635848E-010  2.288727359091E-011  1.011030365247E-009  4.684645510642E-009  6.541649944143E-009  2.350909745487E-009  3.177064827012E-002  4.351700281340E-001  3.362876243131E-008  1.668088930085E-009  3.505029530926E-006  1.878963681119E-002
   1.000000000000E+000  5.392620626701E-001  1.062006922935E+001  1.115933129202E+001  6.713092216624E-001  5.471163383702E+000  5.471163521464E+000  5.471163597889E+000  8.605128376356E+000  8.605128551558E+000  8.605128962655E+000  9.022734829943E+000  1.062006922935E+001  1.095977954065E+001  1.095977964419E+001  1.095978165304E+001  1.193421865580E+001  3.838883476880E-007  1.999999820914E+000  1.999999996800E+000  1.999999925846E+000  1.999999937591E+000  1.999999649845E+000  1.999999648754E+000  1.145156639253E-006  1.041503526894E-005  1.999999813022E+000  1.999999004344E+000  1.999989740086E+000  5.187161053114E-007  0.000000000000E+000  6.639212895734E-010  1.408732831588E-011  7.860308844490E-010  5.149904238512E-009  9.967444589634E-009  2.705283796941E-009  3.917882415936E-002  4.187694806135E-001  4.075081409575E-008  2.719064832103E-009  2.327205672021E-006  2.073035088654E-002
   1.500000000000E+000  6.773078995247E-001  1.048329726195E+001  1.116060516148E+001  7.914639375843E-001  5.366286621599E+000  5.366286740376E+000  5.366286826774E+000  8.742361761144E+000  8.742361958810E+000  8.742362376425E+000  9.152423863525E+000  1.048329726195E+001  1.087552609922E+001  1.087552624411E+001  1.087552789779E+001  1.182356499423E+001  3.976512524024E-007  1.999999831097E+000  1.999999996885E+000  1.999999898945E+000  1.999999895026E+000  1.999999518402E+000  1.999999637674E+000  1.465923210713E-006  7.831749265846E-006  1.999999791621E+000  1.999998705886E+000  1.999992472297E+000  5.568425501744E-007  0.000000000000E+000  5.146319609142E-010  8.234445379081E-012  5.770838223761E-010  7.994649249647E-009  1.744510866753E-008  3.097849909003E-009  5.292603348662E-002  3.920102618646E-001  4.455937065643E-008  5.208898322022E-009  1.589558929029E-006  2.548833418989E-002
   2.000000000000E+000  8.721828030688E-001  1.028778774131E+001  1.115997054438E+001  8.969155811706E-001  5.208109065725E+000  5.208109156460E+000  5.208109253920E+000  8.865959842110E+000  8.865960065100E+000  8.865960497795E+000  9.260300902440E+000  1.028778774131E+001  1.070708336649E+001  1.070708361769E+001  1.070708497510E+001  1.164348635292E+001  4.152210275266E-007  1.999999855412E+000  1.999999996735E+000  1.999999859440E+000  1.999999774009E+000  1.999999265343E+000  1.999999647247E+000  2.082511115277E-006  6.940435551024E-006  1.999999769167E+000  1.999998136966E+000  1.999993656940E+000  6.005729113837E-007  0.000000000000E+000  3.845412035409E-010  5.426477112672E-012  3.961076330684E-010  1.932641952173E-008  3.529056982434E-008  3.364656551145E-009  7.960360119744E-002  3.483465739521E-001  4.517251846100E-008  6.390466591494E-009  1.183473939191E-006  3.367241278598E-002
   2.500000000000E+000  1.110112031190E+000  1.004501712971E+001  1.115512916090E+001  9.697738782672E-001  4.994245003949E+000  4.994245067154E+000  4.994245178801E+000  8.950054112473E+000  8.950054380111E+000  8.950054844612E+000  9.308029089138E+000  1.004501712971E+001  1.044429195031E+001  1.044429243845E+001  1.044429351642E+001  1.138601237563E+001  4.376140831802E-007  1.999999890925E+000  1.999999996443E+000  1.999999807542E+000  1.999999246230E+000  1.999998801433E+000  1.999999679341E+000  3.508646091051E-006  8.289419992717E-006  1.999999753756E+000  1.999996961656E+000  1.999992962107E+000  6.648861509677E-007  0.000000000000E+000  2.814356530152E-010  4.558039585779E-012  2.461044813279E-010  7.627202765174E-008  7.816118902138E-008  3.287806398210E-009  1.359388634583E-001  2.716079135486E-001  4.359775526778E-008  1.692250025843E-009  1.006638652220E-006  4.506835463165E-002
   3.000000000000E+000  1.326361463599E+000  9.821983349933E+000  1.114834481353E+001  1.029025777164E+000  4.758928058743E+000  4.758928100815E+000  4.758928231496E+000  8.995067872437E+000  8.995068322158E+000  8.995068858688E+000  9.266442415240E+000  9.821983349933E+000  1.012602103632E+001  1.012602193714E+001  1.012602308372E+001  1.108651437768E+001  4.658210902171E-007  1.999999928757E+000  1.999999996186E+000  1.999999748408E+000  1.999995756317E+000  1.999998394969E+000  1.999999693178E+000  7.971767275696E-006  1.800225259808E-005  1.999999739970E+000  1.999996600530E+000  1.999982938882E+000  7.629622852146E-007  0.000000000000E+000  2.002206841311E-010  4.560190685836E-012  1.312807390369E-010  5.163573372891E-007  1.368661481836E-007  6.502768756196E-009  2.413931562246E-001  1.434985155108E-001  4.170805996852E-008  9.031629910153E-008  9.602638795963E-007  5.875992306390E-002
   3.500000000000E+000  2.018121566944E+000  9.130223246587E+000  1.114834481353E+001  1.112289276642E+000  4.557396842200E+000  4.557396871026E+000  4.557397025482E+000  9.004143706809E+000  9.004145511603E+000  9.004146136623E+000  9.130223246587E+000  9.688270324544E+000  9.824247065538E+000  9.824248144046E+000  9.824253366498E+000  1.081012211432E+001  5.001198076481E-007  1.999999958102E+000  1.999999996274E+000  1.999999690335E+000  1.999961091876E+000  1.999998646988E+000  1.999999556468E+000  4.259297926707E-005  1.133681504460E-004  1.999999710485E+000  1.999997484404E+000  1.999886521301E+000  8.825164979125E-007  0.000000000000E+000  1.369397118363E-010  4.346318237951E-012  5.652082025606E-011  5.816001642133E-006  1.326695478654E-007  3.024561082645E-008  3.265442290361E-001  3.537807519795E-002  4.221432136223E-008  3.073014036569E-007  1.467684838022E-006  7.315214265032E-002
   4.000000000000E+000  2.215682861043E+000  8.932661952488E+000  1.114834481353E+001  1.286776398985E+000  4.407174313598E+000  4.407174332889E+000  4.407174520971E+000  8.932661952488E+000  9.031369477947E+000  9.031370199309E+000  9.031375054643E+000  9.546164045305E+000  9.546175481020E+000  9.546176561954E+000  9.667046978088E+000  1.056556880487E+001  5.497332619813E-007  1.999999979770E+000  1.999999996963E+000  1.999999623527E+000  8.551554334592E-005  1.999998961101E+000  1.999999223716E+000  1.999917736949E+000  1.999850052348E+000  1.999999640291E+000  1.999997712114E+000  1.499557449295E-004  1.052198996472E-006  0.000000000000E+000  8.529721792221E-011  3.475840764187E-012  1.196765069118E-011  3.325252165046E-001  1.073288676775E-007  8.935942739363E-008  1.494805969502E-005  1.267147974696E-007  4.674524703184E-008  3.127911858522E-007  1.609723274880E-003  9.064587651217E-002
   4.500000000000E+000  2.360625780864E+000  8.786110061822E+000  1.114673584269E+001  1.578835190844E+000  4.364999290290E+000  4.364999303784E+000  4.364999535633E+000  8.786110061822E+000  9.135316767288E+000  9.135317756455E+000  9.135321187705E+000  9.396263852375E+000  9.396270282546E+000  9.396271216886E+000  9.799559252773E+000  1.042738150678E+001  6.161882640074E-007  1.999999990217E+000  1.999999998005E+000  1.999999548108E+000  9.704485452930E-006  1.999999203278E+000  1.999998204922E+000  1.999992828860E+000  1.999989021437E+000  1.999999431457E+000  1.999998877766E+000  1.124289884234E-005  1.332377588935E-006  0.000000000000E+000  4.963155503881E-011  1.654286839873E-012  4.375752168248E-012  3.009571147687E-001  8.041448588681E-008  2.227511270281E-007  1.196398099554E-006  2.076888896910E-007  6.417107903109E-008  1.427213133512E-007  2.700117339230E-003  1.096547208003E-001
