#                    1                    2                    3                    4                    5                    6                    7                    8                    9                   10                   11                   12                   13                   14                   15                   16                   17                   18                   19                   20                   21                   22                   23                   24                   25                   26                   27                   28                   29                   30                   31                   32                   33                   34                   35                   36                   37                   38                   39                   40                   41                   42                   43
#               Time |               Ekin |               Epot |               Etot |  Energy          1 |  Energy          2 |  Energy          3 |  Energy          4 |  Energy          5 |  Energy          6 |  Energy          7 |  Energy          8 |  Energy          9 |  Energy         10 |  Energy         11 |  Energy         12 |  Energy         13 | Spin             1 | Spin             2 | Spin             3 | Spin             4 | Spin             5 | Spin             6 | Spin             7 | Spin             8 | Spin             9 | Spin            10 | Spin            11 | Spin            12 | Spin            13 | f_osc            1 | f_osc            2 | f_osc            3 | f_osc            4 | f_osc            5 | f_osc            6 | f_osc            7 | f_osc            8 | f_osc            9 | f_osc           10 | f_osc           11 | f_osc           12 | f_osc           13 |
#               [fs] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |
   0.000000000000E+000  9.443426739721E-001  1.094621016426E+001  1.189055283823E+001  6.730941252774E-001  8.504616283542E+000  1.094621061976E+001  1.275627855674E+001  5.619624740532E+000  8.539634070897E+000  1.185256181206E+001  5.619624740532E+000  8.539634070897E+000  1.185256181206E+001  5.619624740532E+000  8.539634070897E+000  1.185256181206E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.738303174583E-002  4.010848123796E-001  7.685008213068E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   5.000000000000E-001  7.190305436775E-001  1.117343642368E+001  1.189246696736E+001  8.189938927948E-001  8.816977754669E+000  1.117343696270E+001  1.289994884972E+001  5.727777443409E+000  8.921489030758E+000  1.203815985644E+001  5.727777443409E+000  8.921489030758E+000  1.203815985644E+001  5.727777443409E+000  8.921489030758E+000  1.203815985644E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  2.492898233017E-002  3.961659870970E-001  7.255637130188E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   1.000000000000E+000  4.930011475170E-001  1.140481639472E+001  1.189781754224E+001  1.026641824623E+000  9.183035456169E+000  1.140481698537E+001  1.307409370685E+001  5.866935741651E+000  9.353401996519E+000  1.218764070130E+001  5.866935741651E+000  9.353401996519E+000  1.218764070130E+001  5.866935741651E+000  9.353401996519E+000  1.218764070130E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  3.850961089271E-002  3.872312483131E-001  6.203314287358E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   1.500000000000E+000  3.521068791207E-001  1.155100515421E+001  1.190311203333E+001  1.202200677127E+000  9.521513082745E+000  1.155100584930E+001  1.312238905817E+001  5.942977342738E+000  9.725702202499E+000  1.220615993940E+001  5.942977342738E+000  9.725702202499E+000  1.220615993940E+001  5.942977342738E+000  9.725702202499E+000  1.220615993940E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  6.596422614576E-002  3.666444622389E-001  3.977414814277E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   2.000000000000E+000  3.933204184592E-001  1.151654323485E+001  1.190986365330E+001  1.238419275406E+000  9.663533437758E+000  1.151654422196E+001  1.287969335419E+001  5.852526342314E+000  9.888503120020E+000  1.199348282016E+001  5.852526342314E+000  9.888503120020E+000  1.199348282016E+001  5.852526342314E+000  9.888503120020E+000  1.199348282016E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.093326932929E-001  3.260493505061E-001  1.531626672766E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   2.500000000000E+000  6.708783956139E-001  1.123434630154E+001  1.190522469715E+001  1.081084723163E+000  9.486535911153E+000  1.123434786564E+001  1.242259467800E+001  5.570389869594E+000  9.759588075469E+000  1.154448303859E+001  5.570389869594E+000  9.759588075469E+000  1.154448303859E+001  5.570389869594E+000  9.759588075469E+000  1.154448303859E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.381769705681E-001  2.928032032615E-001  1.005164883619E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   3.000000000000E+000  1.122376079570E+000  1.077051967163E+001  1.189289575120E+001  8.296978803405E-001  9.140302292490E+000  1.077052199145E+001  1.185881521961E+001  5.197335425874E+000  9.408196592773E+000  1.098421735311E+001  5.197335425874E+000  9.408196592773E+000  1.098421735311E+001  5.197335425874E+000  9.408196592773E+000  1.098421735311E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.508128547123E-001  2.737477310114E-001  1.111728033830E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   3.500000000000E+000  1.569218087360E+000  1.031212857615E+001  1.188134666351E+001  6.676375616433E-001  8.825785373959E+000  1.031213105023E+001  1.138001413799E+001  4.912026695828E+000  9.019192216314E+000  1.051193228487E+001  4.912026695828E+000  9.019192216314E+000  1.051193228487E+001  4.912026695828E+000  9.019192216314E+000  1.051193228487E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.483760093410E-001  2.684377310022E-001  1.501939724183E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   4.000000000000E+000  1.838568103994E+000  1.003862071661E+001  1.187718882061E+001  7.445693022188E-001  8.702899777013E+000  1.003862271669E+001  1.113557390869E+001  4.856764138685E+000  8.777625626733E+000  1.027825597359E+001  4.856764138685E+000  8.777625626733E+000  1.027825597359E+001  4.856764138685E+000  8.777625626733E+000  1.027825597359E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.341798009229E-001  2.739711468467E-001  2.023918228448E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   4.500000000000E+000  1.865601385781E+000  1.001696353409E+001  1.188256491987E+001  1.095300792929E+000  8.818521904265E+000  1.001696507128E+001  1.115865073755E+001  5.058984616434E+000  8.767380585197E+000  1.031333643239E+001  5.058984616434E+000  8.767380585197E+000  1.031333643239E+001  5.058984616434E+000  8.767380585197E+000  1.031333643239E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.141740635308E-001  2.840967862900E-001  2.636472057950E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
