#                    1                    2                    3                    4                    5                    6                    7                    8                    9                   10                   11                   12                   13                   14                   15                   16                   17                   18                   19                   20                   21                   22                   23                   24                   25                   26                   27                   28                   29                   30                   31                   32                   33                   34                   35                   36                   37                   38                   39                   40                   41                   42                   43
#               Time |               Ekin |               Epot |               Etot |  Energy          1 |  Energy          2 |  Energy          3 |  Energy          4 |  Energy          5 |  Energy          6 |  Energy          7 |  Energy          8 |  Energy          9 |  Energy         10 |  Energy         11 |  Energy         12 |  Energy         13 | Spin             1 | Spin             2 | Spin             3 | Spin             4 | Spin             5 | Spin             6 | Spin             7 | Spin             8 | Spin             9 | Spin            10 | Spin            11 | Spin            12 | Spin            13 | f_osc            1 | f_osc            2 | f_osc            3 | f_osc            4 | f_osc            5 | f_osc            6 | f_osc            7 | f_osc            8 | f_osc            9 | f_osc           10 | f_osc           11 | f_osc           12 | f_osc           13 |
#               [fs] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |
   0.000000000000E+000  1.211611221887E+000  1.191884290750E+001  1.313045412939E+001  9.084309020629E-001  6.578842867301E+000  6.578843208089E+000  6.578843341092E+000  9.712790365521E+000  9.712790575815E+000  9.712790917949E+000  1.017063525727E+001  1.191884290750E+001  1.218340023498E+001  1.218340050373E+001  1.218340307820E+001  1.331556223894E+001  3.411985223027E-007  1.999999738809E+000  1.999999995474E+000  1.999999979018E+000  1.999999953359E+000  1.999999325858E+000  1.999999686792E+000  1.566265445353E-006  1.846343401368E-005  1.999999920259E+000  1.999998651010E+000  1.999981809451E+000  5.690742166375E-007  0.000000000000E+000  2.015264530911E-010  1.770200170694E-012  2.304870104481E-010  8.316372078473E-009  1.341103569145E-008  3.690102074395E-009  2.937779599907E-002  4.499650088947E-001  6.459659433320E-009  2.591213588292E-008  4.164459621265E-006  4.293740418246E-002
   5.000000000000E-001  1.502337548913E+000  1.161517449032E+001  1.311751203923E+001  7.432956688434E-001  6.311925275706E+000  6.311925343089E+000  6.311925401701E+000  9.585794558994E+000  9.585794690875E+000  9.585795081621E+000  1.009395497088E+001  1.161517449032E+001  1.181021669066E+001  1.181021705567E+001  1.181022056990E+001  1.296815916358E+001  3.411775381496E-007  1.999999847669E+000  1.999999993188E+000  1.999999976021E+000  1.999999980151E+000  1.999999358473E+000  1.999999643071E+000  1.622128354542E-006  3.589552388834E-005  1.999999993931E+000  1.999998389291E+000  1.999964464109E+000  4.952665772780E-007  0.000000000000E+000  8.994428657641E-010  3.233018037322E-011  2.842437818953E-010  8.673680172925E-009  1.904096804774E-008  5.677937661745E-009  4.719560007278E-002  4.230607883021E-001  6.340715907630E-009  1.501537285330E-008  7.774147534208E-006  4.694209346998E-002
   1.000000000000E+000  1.724299746975E+000  1.138332816155E+001  1.310762790853E+001  7.168259983446E-001  6.107511941564E+000  6.107512049218E+000  6.107512127269E+000  9.543274548389E+000  9.543274714634E+000  9.543275074750E+000  1.002623460781E+001  1.138332816155E+001  1.148166791000E+001  1.148166840202E+001  1.148167519038E+001  1.263476398765E+001  3.504415310157E-007  1.999999857947E+000  1.999999991623E+000  1.999999956843E+000  1.999999980203E+000  1.999999231051E+000  1.999999644182E+000  2.092362367503E-006  1.422692442861E-004  1.999999981767E+000  1.999997849909E+000  1.999858229786E+000  5.646407715747E-007  0.000000000000E+000  9.511292386529E-010  2.127812584077E-011  5.233145257906E-010  9.088886233088E-009  3.144854155805E-008  4.653238688831E-009  6.327357720190E-002  3.968416777400E-001  1.078593800022E-008  6.577377457838E-009  2.851988448735E-005  4.875550543921E-002
   1.500000000000E+000  1.766562176805E+000  1.134106573173E+001  1.310762790853E+001  9.555199126317E-001  6.100678574238E+000  6.100678696966E+000  6.100678780957E+000  9.697558948336E+000  9.697559175811E+000  9.697559497291E+000  1.014709775099E+001  1.133758523205E+001  1.133779734790E+001  1.133779803917E+001  1.134106573173E+001  1.246010326588E+001  3.696426085515E-007  1.999999835949E+000  1.999999990669E+000  1.999999945961E+000  1.999999958546E+000  1.999999009388E+000  1.999999664267E+000  2.967398648517E-006  1.878036778163E+000  1.999999951489E+000  1.999997140443E+000  1.219637312838E-001  6.568014619466E-007  0.000000000000E+000  8.633898290647E-010  1.272370825445E-011  5.863388388449E-010  1.095351911469E-008  5.061350019742E-008  2.249908963728E-009  8.152694954199E-002  2.220202407822E-002  1.496794316492E-008  2.515199621689E-009  3.418262900542E-001  5.279151640272E-002
   2.000000000000E+000  1.750225617490E+000  1.137949366641E+001  1.312971928390E+001  1.318736919383E+000  6.170013153294E+000  6.170013253529E+000  6.170013342595E+000  9.911523843912E+000  9.911524167786E+000  9.911524440285E+000  1.032443181003E+001  1.125579189640E+001  1.125579754100E+001  1.125579854162E+001  1.137949366641E+001  1.233876692274E+001  3.990734577194E-007  1.999999821775E+000  1.999999987165E+000  1.999999925092E+000  1.999999871000E+000  1.999998742593E+000  1.999999642658E+000  4.635090081437E-006  1.999909922662E+000  1.999999938496E+000  1.999996026416E+000  9.029975617599E-005  7.882229613015E-007  0.000000000000E+000  7.106978741933E-010  1.322759506837E-011  5.951135702198E-010  1.837329548938E-008  7.424740261823E-008  6.034969242585E-010  1.044386100680E-001  1.519458360896E-005  1.455152976132E-008  5.153907425853E-008  3.207869160270E-001  6.218379824119E-002
   2.500000000000E+000  1.898870307339E+000  1.123284730942E+001  1.313171761675E+001  1.530575167998E+000  6.057862369831E+000  6.057862432370E+000  6.057862529096E+000  9.896878074183E+000  9.896878535279E+000  9.896878771275E+000  1.028654931780E+001  1.101707652013E+001  1.101707984885E+001  1.101708123381E+001  1.123284730942E+001  1.205845631275E+001  4.373244984336E-007  1.999999830921E+000  1.999999976927E+000  1.999999885837E+000  1.999999612495E+000  1.999998703930E+000  1.999999418072E+000  7.312480726541E-006  1.999970898037E+000  1.999999961667E+000  1.999994252814E+000  2.875985242167E-005  9.496413068919E-007  0.000000000000E+000  5.319607420820E-010  2.247142538029E-011  5.798857749253E-010  4.135065727649E-008  8.099655305532E-008  8.855020372994E-009  1.274205988986E-001  4.814252668989E-006  8.348437371099E-009  2.270137401175E-007  2.728209889383E-001  7.651132633235E-002
   3.000000000000E+000  2.237897665913E+000  1.087741273396E+001  1.311531039988E+001  1.551849671421E+000  5.740480233727E+000  5.740480266642E+000  5.740480372351E+000  9.618914348597E+000  9.618914965863E+000  9.618915226076E+000  1.000067233388E+001  1.061389375528E+001  1.061389647283E+001  1.061389817214E+001  1.087741273396E+001  1.161609324173E+001  4.839166055051E-007  1.999999896440E+000  1.999999937637E+000  1.999999816153E+000  1.999999085230E+000  1.999998884386E+000  1.999999056671E+000  1.041353131811E-005  1.999980738800E+000  1.999999993880E+000  1.999992382184E+000  1.821096405789E-005  1.100204879080E-006  0.000000000000E+000  3.241833930547E-010  7.495724253677E-011  5.348826434216E-010  9.018440282709E-008  6.750895687249E-008  2.280819437369E-008  1.440129917308E-001  3.200611510521E-006  1.654304297580E-009  4.957411801224E-007  2.296807411405E-001  9.289419780101E-002
   3.500000000000E+000  2.556649954291E+000  1.054952315748E+001  1.310617311177E+001  1.614568003461E+000  5.460323214672E+000  5.460323249881E+000  5.460323360857E+000  9.324255903476E+000  9.324256661737E+000  9.324256985558E+000  9.707632342440E+000  1.028881924128E+001  1.028882185923E+001  1.028882359342E+001  1.054952315748E+001  1.126331751527E+001  5.392750036777E-007  1.999999980026E+000  1.999999906898E+000  1.999999713951E+000  1.999998339396E+000  1.999998874816E+000  1.999998988326E+000  1.210989838133E-005  1.999980753811E+000  1.999999975738E+000  1.999992054885E+000  1.759124404028E-005  1.171736207245E-006  0.000000000000E+000  1.245052287827E-010  1.574599636772E-010  4.439590766656E-010  1.555340651370E-007  6.064728932811E-008  2.163884003835E-008  1.491792309915E-001  3.113037846690E-006  3.371860337719E-009  6.426507662248E-007  2.003403258762E-001  1.072053197106E-001
   4.000000000000E+000  2.696444747194E+000  1.041341615789E+001  1.310986090509E+001  1.884787455776E+000  5.390794171384E+000  5.390794223434E+000  5.390794346579E+000  9.200676754697E+000  9.200677604272E+000  9.200678015854E+000  9.585142445049E+000  1.020361518474E+001  1.020361823549E+001  1.020361973200E+001  1.041341615789E+001  1.117290757018E+001  6.047238849699E-007  1.999999995450E+000  1.999999943877E+000  1.999999602692E+000  1.999997443729E+000  1.999998781927E+000  1.999999139651E+000  1.178196067167E-005  1.999971732179E+000  1.999999882790E+000  1.999993672043E+000  2.629350953933E-005  1.125467457972E-006  0.000000000000E+000  7.080963230609E-011  1.281216567045E-010  3.229033966547E-010  2.205468338324E-007  5.567089845769E-008  1.631937393601E-008  1.438905794008E-001  4.158626749328E-006  1.528964250724E-008  5.577040839396E-007  1.854713437457E-001  1.174092229546E-001
   4.500000000000E+000  2.666508411563E+000  1.045100019445E+001  1.311750860602E+001  2.345214893476E+000  5.520432414293E+000  5.520432483773E+000  5.520432631916E+000  9.250140512226E+000  9.250141418633E+000  9.250141947003E+000  9.628795126267E+000  1.033612523876E+001  1.033613044717E+001  1.033613162178E+001  1.045100019445E+001  1.132642277900E+001  6.819108154320E-007  1.999999997321E+000  1.999999968645E+000  1.999999504509E+000  1.999996311874E+000  1.999998852554E+000  1.999999309527E+000  1.065835702713E-005  1.999912192022E+000  1.999999747973E+000  1.999995961194E+000  8.583105722267E-005  9.830576503266E-007  0.000000000000E+000  5.531580150462E-011  7.139474355893E-011  2.165050756416E-010  2.866004012655E-007  4.481110283575E-008  1.399048095336E-008  1.329999936924E-001  1.055818951089E-005  3.007602946654E-008  3.630653599018E-007  1.791116913137E-001  1.241946057713E-001
