#                    1                    2                    3                    4                    5                    6                    7                    8                    9                   10                   11                   12                   13                   14                   15                   16                   17                   18                   19                   20                   21                   22                   23                   24                   25                   26                   27                   28                   29                   30                   31                   32                   33                   34                   35                   36                   37                   38                   39                   40                   41                   42                   43
#               Time |               Ekin |               Epot |               Etot |  Energy          1 |  Energy          2 |  Energy          3 |  Energy          4 |  Energy          5 |  Energy          6 |  Energy          7 |  Energy          8 |  Energy          9 |  Energy         10 |  Energy         11 |  Energy         12 |  Energy         13 | Spin             1 | Spin             2 | Spin             3 | Spin             4 | Spin             5 | Spin             6 | Spin             7 | Spin             8 | Spin             9 | Spin            10 | Spin            11 | Spin            12 | Spin            13 | f_osc            1 | f_osc            2 | f_osc            3 | f_osc            4 | f_osc            5 | f_osc            6 | f_osc            7 | f_osc            8 | f_osc            9 | f_osc           10 | f_osc           11 | f_osc           12 | f_osc           13 |
#               [fs] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |
   0.000000000000E+000  1.211611221887E+000  1.191884290750E+001  1.313045412939E+001  9.084326031315E-001  1.017063590924E+001  1.191884523202E+001  1.331556110064E+001  6.578843774965E+000  9.712791019334E+000  1.218339905684E+001  6.578843774965E+000  9.712791019334E+000  1.218339905684E+001  6.578843774965E+000  9.712791019334E+000  1.218339905684E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  2.937784065552E-002  4.499691480730E-001  4.293742947657E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   5.000000000000E-001  1.502337548913E+000  1.161517449032E+001  1.311751203923E+001  7.432973571843E-001  1.009395582313E+001  1.161517784144E+001  1.296815812965E+001  6.311925835673E+000  9.585795306458E+000  1.181021546135E+001  6.311925835673E+000  9.585795306458E+000  1.181021546135E+001  6.311925835673E+000  9.585795306458E+000  1.181021546135E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  4.719568123927E-002  4.230684848791E-001  4.694212466602E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   1.000000000000E+000  1.724299746975E+000  1.138332816155E+001  1.310762790853E+001  7.168277033480E-001  1.002623563435E+001  1.138333497101E+001  1.263476289636E+001  6.107512545167E+000  9.543275412991E+000  1.148166654468E+001  6.107512545167E+000  9.543275412991E+000  1.148166654468E+001  6.107512545167E+000  9.543275412991E+000  1.148166654468E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  6.327371261817E-002  3.968700572437E-001  4.875555040411E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   1.500000000000E+000  1.766562176805E+000  1.134106573173E+001  1.310762790853E+001  9.555216637172E-001  1.014709901859E+001  1.134085324238E+001  1.246010208890E+001  6.100679256439E+000  9.697559978137E+000  1.133779574555E+001  6.100679256439E+000  9.697559978137E+000  1.133779574555E+001  6.100679256439E+000  9.697559978137E+000  1.133779574555E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  8.152718285000E-002  3.640280700455E-001  5.279158678278E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   2.000000000000E+000  1.750225617490E+000  1.137949366641E+001  1.312971928390E+001  1.318738742599E+000  1.032443344112E+001  1.137948776747E+001  1.233876564837E+001  6.170013910526E+000  9.911525127331E+000  1.125579559528E+001  6.170013910526E+000  9.911525127331E+000  1.125579559528E+001  6.170013910526E+000  9.911525127331E+000  1.125579559528E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.044390394847E-001  3.208017056730E-001  6.218391403548E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   2.500000000000E+000  1.898870307339E+000  1.123284730942E+001  1.313171761675E+001  1.530577079384E+000  1.028655138622E+001  1.123284381537E+001  1.205845494664E+001  6.057863196886E+000  9.896879672427E+000  1.101707752908E+001  6.057863196886E+000  9.896879672427E+000  1.101707752908E+001  6.057863196886E+000  9.896879672427E+000  1.101707752908E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.274213632315E-001  2.728252080977E-001  7.651150772656E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   3.000000000000E+000  2.237897665913E+000  1.087741273396E+001  1.311531039988E+001  1.551851680724E+000  1.000067470756E+001  1.087740988588E+001  1.161609180992E+001  5.740481132799E+000  9.618916240395E+000  1.061389386361E+001  5.740481132799E+000  9.618916240395E+000  1.061389386361E+001  5.740481132799E+000  9.618916240395E+000  1.061389386361E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.440141657201E-001  2.296831822296E-001  9.289444847968E-002  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   3.500000000000E+000  2.556649954291E+000  1.054952315748E+001  1.310617311177E+001  1.614570117117E+000  9.707634636781E+000  1.054952039369E+001  1.126331607002E+001  5.460324201801E+000  9.324257954934E+000  1.028881913365E+001  5.460324201801E+000  9.324257954934E+000  1.028881913365E+001  5.460324201801E+000  9.324257954934E+000  1.028881913365E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.491806418185E-001  2.003426114142E-001  1.072056109972E-001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   4.000000000000E+000  2.696444747194E+000  1.041341615789E+001  1.310986090509E+001  1.884789678414E+000  9.585144271533E+000  1.041341292441E+001  1.117290618337E+001  5.390795256720E+000  9.200678802677E+000  1.020361555381E+001  5.390795256720E+000  9.200678802677E+000  1.020361555381E+001  5.390795256720E+000  9.200678802677E+000  1.020361555381E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.438919421971E-001  1.854747139976E-001  1.174095090811E-001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
   4.500000000000E+000  2.666508411563E+000  1.045100019445E+001  1.311750860602E+001  2.345217226286E+000  9.628796266877E+000  1.045099477597E+001  1.132642152582E+001  5.520433599801E+000  9.250142445003E+000  1.033612792646E+001  5.520433599801E+000  9.250142445003E+000  1.033612792646E+001  5.520433599801E+000  9.250142445003E+000  1.033612792646E+001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  2.000000000000E+000  0.000000000000E+000  1.330011709164E-001  1.791215629536E-001  1.241948537551E-001  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000  0.000000000000E+000
